fullname,username,count
activeadmin/activeadmin,Greg Bell,245
activeadmin/activeadmin,Matt Vague,50
activeadmin/activeadmin,Philippe Creux,31
activeadmin/activeadmin,Sean Linsley,29
activeadmin/activeadmin,Timo Schilling,21
activeadmin/activeadmin,Roman SklenaÌ�rÌŒ,11
activeadmin/activeadmin,Matthew Brewer,8
activeadmin/activeadmin,Joshua Collins,5
activeadmin/activeadmin,Amiel Martin,5
activeadmin/activeadmin,Michael Yagudaev,4
activeadmin/activeadmin,Johnny Shields,3
activeadmin/activeadmin,Scott Meves,2
activeadmin/activeadmin,Andreas Haller,2
activeadmin/activeadmin,Andrey Chernih,2
activeadmin/activeadmin,Edgars Beigarts,2
activeadmin/activeadmin,Peter M. Goldstein,2
activeadmin/activeadmin,Randy Morgan,2
activeadmin/activeadmin,Jiten,1
activeadmin/activeadmin,Alex Handley,1
activeadmin/activeadmin,Craig McNamara,1
activeadmin/activeadmin,Dmitriy Myaskovskiy,1
activeadmin/activeadmin,Kamil Dziemianowicz,1
activeadmin/activeadmin,Matt Brewer,1
activeadmin/activeadmin,Dmitry Polushkin,1
activeadmin/activeadmin,Alexander Simonov,1
activeadmin/activeadmin,Nathan Carnes,1
activeadmin/activeadmin,Angelo Grossini,1
activeadmin/activeadmin,Philip Arndt,1
activeadmin/activeadmin,Hayden Ball,1
activeadmin/activeadmin,Corey Woodcox,1
activeadmin/activeadmin,Piers Chambers,1
activeadmin/activeadmin,James McKinney,1
activeadmin/activeadmin,Jean-Michel Garnier,1
activeadmin/activeadmin,Sam Vincent,1
ajaxorg/ace,nightwing,357
ajaxorg/ace,Fabian Jakobs,155
ajaxorg/ace,Garen Torikian,51
ajaxorg/ace,Matthew Kastor,11
ajaxorg/ace,Robert Krahn,9
ajaxorg/ace,DanyaPostfactum,9
ajaxorg/ace,Zef Hemel,8
ajaxorg/ace,William Candillon,7
ajaxorg/ace,Julian Viereck,6
ajaxorg/ace,Nicolas Guillaumin,4
ajaxorg/ace,btilford,4
ajaxorg/ace,Smirnov O. A,4
ajaxorg/ace,Devon Carew,4
ajaxorg/ace,h3rb,4
ajaxorg/ace,Adam Joseph Cook,3
ajaxorg/ace,baboso,3
ajaxorg/ace,Bernhard Weichel,3
ajaxorg/ace,OpenShift guest,3
ajaxorg/ace,Russ,3
ajaxorg/ace,Ryan Griffith,3
ajaxorg/ace,Soonho Kong,3
ajaxorg/ace,Yaogang Lian,3
ajaxorg/ace,dgeorge,3
ajaxorg/ace,Jacob Hansson,2
ajaxorg/ace,jiyinyiyong,2
ajaxorg/ace,Adam Jimenez,2
ajaxorg/ace,Jonathan Camile,2
ajaxorg/ace,Alex Kit,2
ajaxorg/ace,Liborio Cannici,2
ajaxorg/ace,Meg Sharkey,2
ajaxorg/ace,Mostafa Eweda,2
ajaxorg/ace,Bernie Telles,2
ajaxorg/ace,mrpants,2
ajaxorg/ace,Breck,2
ajaxorg/ace,C9,2
ajaxorg/ace,Patrick Nevels,2
ajaxorg/ace,Choonster,2
ajaxorg/ace,Peter Xiao,2
ajaxorg/ace,Sergi Mansilla,2
ajaxorg/ace,Conaclos,2
ajaxorg/ace,c-spencer,2
ajaxorg/ace,Tim Caswell,2
ajaxorg/ace,Tim Cuthbertson,2
ajaxorg/ace,Tom Tasche,2
ajaxorg/ace,gigasquid,2
ajaxorg/ace,Graham Scott,2
ajaxorg/ace,Heigh Tech LLC,2
ajaxorg/ace,iebuggy,1
ajaxorg/ace,Irakli Gozalishvili,1
ajaxorg/ace,James Allen,1
ajaxorg/ace,Jason O'Neil,1
ajaxorg/ace,Joe Walker,1
ajaxorg/ace,John Kane,1
ajaxorg/ace,John Roepke,1
ajaxorg/ace,Kelley van Evert,1
ajaxorg/ace,Lennart Kats,1
ajaxorg/ace,Andreas Madsen,1
ajaxorg/ace,Morten Fangel,1
ajaxorg/ace,Nala Ginrut,1
ajaxorg/ace,bootstraponline,1
ajaxorg/ace,Nemurimasu Neiro,1
ajaxorg/ace,Nicholas Breslow,1
ajaxorg/ace,Panagiotis Astithas,1
ajaxorg/ace,Paul Edwards,1
ajaxorg/ace,richo,1
ajaxorg/ace,Chris Nelson,1
ajaxorg/ace,Roger Gallion,1
ajaxorg/ace,Christoph Hochreiner,1
ajaxorg/ace,SunboX,1
ajaxorg/ace,Daniel Felder,1
ajaxorg/ace,ukyo,1
ajaxorg/ace,Davide Saurino,1
ajaxorg/ace,Eric Arnold,1
ajaxorg/ace,Gabriel BeÌ�dard SiceÌ�,1
alexreisner/geocoder,Alex Reisner,83
alexreisner/geocoder,Thu Trang Pham,5
alexreisner/geocoder,Marc Tobias Metten,3
alexreisner/geocoder,Michael Guterl,3
alexreisner/geocoder,Rob Murray,3
alexreisner/geocoder,Steve Agalloco,3
alexreisner/geocoder,Brian Flanagan,3
alexreisner/geocoder,Christian BÃ¸tker HÃ¸j,3
alexreisner/geocoder,Dan Drinkard,3
alexreisner/geocoder,Fernando Morgenstern,3
alexreisner/geocoder,Karri NiemelÃ¤,3
alexreisner/geocoder,lipanski,3
alexreisner/geocoder,Luke Roberts,3
alexreisner/geocoder,Roberto Pepato,2
alexreisner/geocoder,Yong Gu,2
alexreisner/geocoder,Anderson Bravalheri,2
alexreisner/geocoder,Christian Aust,2
alexreisner/geocoder,Christoph BuÌˆnte,2
alexreisner/geocoder,dblock,2
alexreisner/geocoder,Eric Hayes,2
alexreisner/geocoder,Eugene Russkikh,2
alexreisner/geocoder,George Lee,2
alexreisner/geocoder,Matthew Landauer,1
alexreisner/geocoder,Olivier Gonzalez,1
alexreisner/geocoder,Rob Di Marco,1
alexreisner/geocoder,Roger Campos,1
alexreisner/geocoder,Steve Hoeksema,1
alexreisner/geocoder,Adnan Ali,1
alexreisner/geocoder,Andrew Stevens,1
alexreisner/geocoder,fishbullet,1
alexreisner/geocoder,Francesco Vollero,1
android/platform_frameworks_base,The Android Open Source Project,1395
android/platform_frameworks_base,Dianne Hackborn,245
android/platform_frameworks_base,Marius Renn,239
android/platform_frameworks_base,Yohann Roussel,239
android/platform_frameworks_base,Romain Guy,208
android/platform_frameworks_base,Jeff Brown,186
android/platform_frameworks_base,Jeff Sharkey,122
android/platform_frameworks_base,Benjamin Hendricks,117
android/platform_frameworks_base,Svetoslav,114
android/platform_frameworks_base,Alex Sakhartchouk,113
android/platform_frameworks_base,Mike Lockwood,102
android/platform_frameworks_base,Chet Haase,100
android/platform_frameworks_base,Igor Murashkin,95
android/platform_frameworks_base,Jason Sams,92
android/platform_frameworks_base,Jean-Baptiste Queru,90
android/platform_frameworks_base,Adam Lesinski,88
android/platform_frameworks_base,Eric Fischer,81
android/platform_frameworks_base,John Spurlock,78
android/platform_frameworks_base,Adam Powell,78
android/platform_frameworks_base,Kenny Root,73
android/platform_frameworks_base,John Reck,66
android/platform_frameworks_base,Jim Miller,65
android/platform_frameworks_base,Neal Nguyen,64
android/platform_frameworks_base,Fabrice Di Meglio,60
android/platform_frameworks_base,Jorim Jaggi,58
android/platform_frameworks_base,Christopher Tate,56
android/platform_frameworks_base,Joe Onorato,50
android/platform_frameworks_base,Michael Jurka,48
android/platform_frameworks_base,Wink Saville,47
android/platform_frameworks_base,Winson Chung,47
android/platform_frameworks_base,Eric Laurent,44
android/platform_frameworks_base,Nick Pelly,41
android/platform_frameworks_base,Chris Craik,36
android/platform_frameworks_base,Alan Viverette,34
android/platform_frameworks_base,Fred Quintana,34
android/platform_frameworks_base,Amith Yamasani,32
android/platform_frameworks_base,destradaa,32
android/platform_frameworks_base,Daniel Sandler,31
android/platform_frameworks_base,Craig Mautner,29
android/platform_frameworks_base,George Mount,29
android/platform_frameworks_base,Irfan Sheriff,29
android/platform_frameworks_base,RoboErik,28
android/platform_frameworks_base,Jungshik Jang,27
android/platform_frameworks_base,Adrian Roos,25
android/platform_frameworks_base,Robert Greenwalt,25
android/platform_frameworks_base,Tor Norbye,25
android/platform_frameworks_base,Vasu Nori,25
android/platform_frameworks_base,Brett Chabot,24
android/platform_frameworks_base,Ruben Brunk,23
android/platform_frameworks_base,Jinsuk Kim,22
android/platform_frameworks_base,Narayan Kamath,22
android/platform_frameworks_base,Selim Cinek,22
android/platform_frameworks_base,Teng-Hui Zhu,22
android/platform_frameworks_base,Jaikumar Ganesh,22
android/platform_frameworks_base,Matthew Williams,21
android/platform_frameworks_base,Andreas Huber,21
android/platform_frameworks_base,Wei Wang,21
android/platform_frameworks_base,Mathias Agopian,20
android/platform_frameworks_base,Maxim Siniavine,19
android/platform_frameworks_base,satok,19
android/platform_frameworks_base,Chris Wren,19
android/platform_frameworks_base,Gilles Debunne,19
android/platform_frameworks_base,Jason Monk,18
android/platform_frameworks_base,Martijn Coenen,17
android/platform_frameworks_base,Jean-Michel Trivi,17
android/platform_frameworks_base,John Grossman,16
